"SeqRegra","SeqCons","Regra","Ordem","Condicao","Acao1","Acao2"
"44","87","SE_FAT_FORAPRAZO","01","[[FAT]] > 0","[[FAT]] [COR_FUNDO] #COR=255","[[FAT]] [COR_TEXTO] #COR=16777215"
"45","87","SE_FAT_NOPRAZO","01","[[FAT]] = 0","[[FAT]] [COR_FUNDO] #COR=65535","[[FAT]] [COR_TEXTO] #COR=0"
"46","87","SE_EFIS_ANTESPRAZO","01","[[E_FIS]] < 1 and [[E_FIS]] >= 0","[[E_FIS]] [COR_FUNDO] #COR=32768","[[E_FIS]] [COR_TEXTO] #COR=16777215"
"47","87","SE_EFIS_FORAPRAZO","01","[[E_FIS]] > 1","[[E_FIS]] [COR_FUNDO] #COR=255","[[E_FIS]] [COR_TEXTO] #COR=16777215"
"48","87","SE_EFIS_NOPRAZO","01","[[E_FIS]] = 1","[[E_FIS]] [COR_FUNDO] #COR=65535","[[E_FIS]] [COR_TEXTO] #COR=0"
"49","87","SE_SHOW_ANTESPRAZO","01","[[SHOW]] < 1 and [[SHOW]] >= 0","[[SHOW]] [COR_FUNDO] #COR=32768","[[SHOW]] [COR_TEXTO] #COR=16777215"
"50","87","SE_SHOW_FORAPRAZO","01","[[SHOW]] > 1","[[SHOW]] [COR_FUNDO] #COR=255","[[SHOW]] [COR_TEXTO] #COR=16777215"
"51","87","SE_SHOW_NOPRAZO","01","[[SHOW]] = 1","[[SHOW]] [COR_FUNDO] #COR=65535","[[SHOW]] [COR_TEXTO] #COR=0"
"53","83","FINAL","A","[[PEDIDO]] = 1","[[PEDIDO]] [COR_FUNDO] #COR=65280",""
"54","83","FINAL","B","[[PERDEU]] = 1","[[PERDEU]] [COR_FUNDO] #COR=255","[[PERDEU]] [COR_TEXTO] #COR=16777215"
"55","83","PROXIMO","B","[[PROXIMO]] = 1","[[PROXIMO]] [SETA_ACIMA] [VERDE]",""
"56","83","PROXIMO","A","[[PROXIMO]] != ( 1 - [[FIM]] )","[[PROXIMO]] [LED] [VERMELHO]",""
"57","83","A_FINALIZADO","","[[FIM]] = 1 AND [[ORDEM]] < 70","[COR_FUNDO] #COR=13303754",""
"58","83","ULTRAPASSOU","C","[[ORDEM]] > '15' AND [[ORDEM]] <= '65'","[[STATUS]] [SETA_ACIMA] [AMARELO]",""
"59","87","SE_TECN_ANTESPRAZO","01","[[TECN]] < 4 and [[TECN]] >= 0","[[TECN]] [COR_FUNDO] #COR=32768","[[TECN]] [COR_TEXTO] #COR=16777215"
"60","87","SE_TECN_FORAPRAZO","01","[[TECN]] > 4","[[TECN]] [COR_FUNDO] #COR=255","[[TECN]] [COR_TEXTO] #COR=16777215"
"61","87","SE_TECN_NOPRAZO","01","[[TECN]] = 4","[[TECN]] [COR_FUNDO] #COR=65535","[[TECN]] [COR_TEXTO] #COR=0"
"62","87","TOTAL","","[[DTA_COMB_CLIENTE]] < [[DTA_ENTREGA]]","[[TOTAL]] #COR=255","[[TOTAL]] [COR_TEXTO] #COR=16777215"
"66","87","SE_COMB_ANTESPRAZO","01","[[ENTREGA]] < 0 AND [[ENTREGA]] > -999","[[ENTREGA]] [SETA_ACIMA] [VERDE]",""
"67","87","SE_COMB_NOPRAZO","01","[[ENTREGA]] = 0","[[ENTREGA]] [SETA_ACIMA] [AMARELO]",""
"68","87","SE_DIAS_NOPRAZO","01","[[COMBINADO]] > 0","[[COMBINADO]] [SETA_ABAIXO] [VERMELHO]",""
"69","87","SE_DATA_ANTESPRAZO","01","[[DATA]] < 1 and [[DATA]] >= 0","[[DATA]] [COR_FUNDO] #COR=32768","[[DATA]] [COR_TEXTO] #COR=16777215"
"70","87","SE_DATA_FORAPRAZO","01","[[DATA]] > 1","[[DATA]] [COR_FUNDO] #COR=255","[[DATA]] [COR_TEXTO] #COR=16777215"
"71","87","SE_DATA_NOPRAZO","01","[[DATA]] = 1","[[DATA]] [COR_FUNDO] #COR=65535","[[DATA]] [COR_TEXTO] #COR=0"
"72","90","FINAL","A","[[PEDIDO]] = 1","[[PEDIDO]] [COR_FUNDO] #COR=65280",""
"73","90","FINAL","B","[[PERDEU]] = 1","[[PERDEU]] [COR_FUNDO] #COR=255","[[PERDEU]] [COR_TEXTO] #COR=16777215"
"74","90","PROXIMO","B","[[PROXIMO]] = 1","[[PROXIMO]] [SETA_ACIMA] [VERDE]",""
"75","90","PROXIMO","A","[[PROXIMO]] != ( 1 - [[FIM]] )","[[PROXIMO]] [LED] [VERMELHO]",""
"76","90","A_FINALIZADO","","[[FIM]] = 1 AND [[ORDEM]] < 70","[COR_FUNDO] #COR=13303754",""
"77","90","ULTRAPASSOU","C","[[ORDEM]] > '15' AND [[ORDEM]] <= '65'","[[STATUS]] [SETA_ACIMA] [AMARELO]",""
