"SeqCbrCritDef","SeqCbrCriterio","Origem","NroEmpresa","Departamento","Especie","TipoCobranca","IndCobrJuridica","LocalCobranca","VlrAberto","DiasAbertoDe","DiasAbertoAte","AtividadePessoa","FisicaJuridica","diasvencidode","diasvencidoate"
"21","21","** Todas **","3","** Todos **","DUPLIC DE MAQUINAS","** Todos **","0","** Todos **","1,00","","","","","2","45"
"22","22","** Todas **","4","** Todos **","DUPLIC DE MAQUINAS","** Todos **","0","** Todos **","1,00","","","","","2","45"
"23","23","Protheus","7","** Todos **","DP","** Todos **","0","** Todos **","1,00","","","","","2","45"
"24","24","** Todas **","11","** Todos **","DUPLIC DE MAQUINAS","** Todos **","0","** Todos **","1,00","","","","","2","45"
"25","25","** Todas **","891","** Todos **","DUPLIC DE MAQUINAS","** Todos **","0","** Todos **","1,00","","","","","2","45"
"26","26","Protheus","1","** Todos **","DP","** Todos **","0","** Todos **","1,00","","","","","3","45"
"27","27","Protheus","2","** Todos **","DP","** Todos **","0","** Todos **","1,00","","","","","3","45"
"28","28","Protheus","3","** Todos **","DP","** Todos **","0","** Todos **","1,00","","","","","2","45"
"29","29","Protheus","4","** Todos **","DP","** Todos **","0","** Todos **","1,00","","","","","3","45"
"30","30","Protheus","5","** Todos **","DP","** Todos **","0","** Todos **","1,00","","","","","3","45"
"31","31","Protheus","7","** Todos **","DP","** Todos **","0","** Todos **","1,00","","","","","3","45"
"32","32","Protheus","9","** Todos **","DP","** Todos **","0","** Todos **","1,00","","","","","3","45"
"33","33","Protheus","10","** Todos **","DP","** Todos **","0","** Todos **","1,00","","","","","3","45"
"34","34","Protheus","11","** Todos **","DP","** Todos **","0","** Todos **","1,00","","","","","3","45"
"35","35","** Todas **","12","** Todos **","DP","** Todos **","0","** Todos **","1,00","","","","","3","45"
"36","36","** Todas **","891","** Todos **","DUPLICATA","** Todos **","0","** Todos **","1,00","","","","","2","45"
"38","38","** Todas **","2","** Todos **","TIT.ANTERIOR SISTEMA","** Todos **","0","** Todos **","1,00","","","","","2","45"
"39","39","** Todas **","3","** Todos **","TIT.ANTERIOR SISTEMA","** Todos **","0","** Todos **","1,00","","","","","2","45"
"40","40","** Todas **","4","** Todos **","TIT.ANTERIOR SISTEMA","** Todos **","0","** Todos **","1,00","","","","","2","45"
"41","41","Protheus","5","** Todos **","CH","** Todos **","0","** Todos **","1,00","","","","","3","45"
"42","42","** Todas **","7","** Todos **","TIT.ANTERIOR SISTEMA","** Todos **","0","** Todos **","1,00","","","","","2","45"
"43","43","Protheus","9","** Todos **","CH","** Todos **","0","** Todos **","1,00","","","","","3","45"
"44","44","Protheus","10","** Todos **","CH","** Todos **","0","** Todos **","1,00","","","","","3","45"
"45","45","** Todas **","11","** Todos **","TIT.ANTERIOR SISTEMA","** Todos **","0","** Todos **","1,00","","","","","2","45"
"46","46","Protheus","12","** Todos **","CH","** Todos **","0","** Todos **","1,00","","","","","3","45"
"47","47","** Todas **","891","** Todos **","TIT.ANTERIOR SISTEMA","** Todos **","0","** Todos **","1,00","","","","","2","45"
"48","48","Protheus","1","** Todos **","CA","** Todos **","0","** Todos **","1,00","","","","","3","45"
"49","49","Protheus","2","** Todos **","CA","** Todos **","0","** Todos **","1,00","","","","","3","45"
"50","50","** Todas **","3","** Todos **","CA","** Todos **","0","** Todos **","1,00","","","","","3","45"
"51","51","** Todas **","4","** Todos **","CA","** Todos **","0","** Todos **","1,00","","","","","3","45"
"52","52","Protheus","5","** Todos **","CA","** Todos **","0","** Todos **","1,00","","","","","3","45"
